City,Latitude,Longitude,Max Temp,Cloudiness,Wind Speed,Humidity,Date
Butaritari,3.07,172.79,85.63,12,5.07,100,2018-10-28 01:11:28
Marystown,47.17,-55.16,40.22,88,3.22,100,2018-10-28 01:15:58
Long Beach,30.35,-89.15,64.38,1,1.42,82,2018-10-28 00:53:00
Lucapa,-8.42,20.74,68.35,8,1.47,89,2018-10-28 01:16:00
Albany,42.65,-73.75,44.58,90,4.1,81,2018-10-28 00:54:00
Harper,30.3,-99.24,67.98,1,2.32,60,2018-10-28 00:55:00
Torbay,47.66,-52.73,35.58,75,2.6,80,2018-10-28 01:00:00
Pangnirtung,66.15,-65.72,23.75,88,2.77,95,2018-10-28 01:16:06
Jiaozuo,35.21,113.25,49.36,0,2.67,29,2018-10-28 01:16:08
Bredasdorp,-34.53,20.04,66.18,56,5.7,82,2018-10-28 00:00:00
Port Macquarie,-31.43,152.91,66.18,90,7.7,63,2018-10-28 01:00:00
Rikitea,-23.12,-134.97,73.16,32,6.57,100,2018-10-28 01:07:06
Vaini,15.34,74.49,66.55,0,2.72,54,2018-10-28 01:13:46
Mataura,-46.19,168.86,52.24,88,2.57,97,2018-10-28 01:16:14
East London,-33.02,27.91,69.2,20,8.52,100,2018-10-28 01:16:15
Leningradskiy,69.38,178.42,14.75,0,1.97,100,2018-10-28 01:16:17
Kohima,25.66,94.1,59.21,76,1.07,90,2018-10-28 01:16:18
Nortelandia,-14.45,-56.8,79.1,0,2.32,84,2018-10-28 01:16:19
Carnarvon,-30.97,22.13,57.1,0,0.97,25,2018-10-28 01:16:20
Cape Town,-33.93,18.42,58.98,0,0.5,93,2018-10-28 00:00:00
Mandalgovi,45.76,106.27,27.13,0,5.27,70,2018-10-28 01:16:22
Saskylakh,71.97,114.09,23.08,88,11.12,86,2018-10-28 01:16:24
Iqaluit,63.75,-68.52,17.58,75,11.8,85,2018-10-28 01:00:00
Longyearbyen,78.22,15.63,19.38,75,4.1,73,2018-10-28 00:50:00
Chuy,-33.69,-53.46,60.11,20,4.72,90,2018-10-28 01:16:27
Ushuaia,-54.81,-68.31,46.38,40,1.5,76,2018-10-28 00:00:00
Rio Cuarto,-33.13,-64.35,64.38,40,6.2,63,2018-10-28 00:00:00
Huicungo,-7.28,-76.8,74.06,64,1.27,90,2018-10-28 01:16:31
Kurilsk,45.23,147.88,53.14,0,3.92,95,2018-10-28 01:16:33
Broken Hill,-31.97,141.45,69.16,92,3.87,47,2018-10-28 01:16:34
Damara,4.96,18.7,71.58,75,6.7,73,2018-10-28 00:00:00
Hermanus,-34.42,19.24,61.73,0,1.72,83,2018-10-28 01:16:37
Hobart,-42.88,147.33,53.58,75,3.1,57,2018-10-28 00:30:00
Guerrero Negro,27.97,-114.04,81.85,0,5.12,41,2018-10-28 01:16:39
Berlevag,70.86,29.09,32.89,88,7.02,100,2018-10-28 01:16:40
Avarua,-21.21,-159.78,73.38,90,3.6,100,2018-10-28 01:00:00
Tucumcari,35.17,-103.73,60.78,1,3.1,55,2018-10-28 00:53:00
Victoria,5.28,115.24,84.18,75,1.0,100,2018-10-28 01:00:00
Nizhniy Kuranakh,58.84,125.49,14.12,68,2.47,81,2018-10-28 01:16:45
Hithadhoo,-0.6,73.08,80.14,64,4.22,100,2018-10-28 01:16:47
Lagoa,37.14,-8.45,55.38,0,8.2,62,2018-10-28 01:00:00
Lasa,34.92,32.53,58.98,0,4.6,72,2018-10-28 01:00:00
Port Alfred,-33.59,26.89,67.76,0,6.32,95,2018-10-28 01:16:52
Cidreira,-30.17,-50.22,63.26,92,5.92,92,2018-10-28 01:16:54
Tiksi,71.64,128.87,14.44,36,6.92,77,2018-10-28 01:13:41
Kapit,2.02,112.94,74.6,92,1.27,97,2018-10-28 01:12:11
Srednekolymsk,67.46,153.71,7.46,80,3.32,77,2018-10-28 01:16:57
Ponta do Sol,-20.63,-46.0,69.92,88,3.97,86,2018-10-28 01:16:58
Clyde River,70.47,-68.59,4.98,20,5.1,84,2018-10-28 01:00:00
Atuona,-9.8,-139.03,80.14,80,8.92,100,2018-10-28 01:17:01
Burnie,-41.05,145.91,50.98,0,2.97,100,2018-10-28 01:17:02
Kaseda,31.42,130.32,57.18,40,2.1,67,2018-10-28 00:00:00
Tuktoyaktuk,69.44,-133.03,24.78,90,5.7,92,2018-10-28 01:00:00
Puerto Ayora,-0.74,-90.35,73.38,0,7.7,69,2018-10-28 00:00:00
Bunia,1.56,30.25,62.86,44,1.32,90,2018-10-28 01:17:07
